plugin,timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
Recorder,783306.974056708,0.006056041456758976,1787643586226.8599,783306.974049422,783306.974055478
Recorder,783306.953162,0.004909932613372803,1787643586295.2915,783307.021588557,783307.021593467
Recorder,783306.986673,0.009263982065021992,1787643586297.8533,783307.057657124,783307.057666388
Recorder,783307.020183,0.0063569750636816025,1787643586296.4314,783307.089747733,783307.08975409
Recorder,783307.053693,0.005634967237710953,1787643586295.3513,783307.122178675,783307.12218431
Recorder,783307.087204,0.004961970262229443,1787643586297.5698,783307.157908811,783307.157913773
Recorder,783307.120714,0.005368026904761791,1787643586295.9014,783307.189749848,783307.189755216
Recorder,783307.154225,0.011199968867003918,1787643586294.4524,783307.221806478,783307.221817678
Recorder,783307.187735,0.004144967533648014,1787643586296.7288,783307.257599835,783307.25760398
Recorder,783307.221245,0.004264060407876968,1787643586295.4443,783307.289825249,783307.289829513
Recorder,783307.254756,0.004872097633779049,1787643586297.9548,783307.325845392,783307.325850264
Recorder,783307.288266,0.005868962034583092,1787643586296.294,783307.357694196,783307.357700065
Recorder,783307.321777,0.0042869942262768745,1787643586294.6787,783307.389591424,783307.389595711
Recorder,783307.355287,0.005261041224002838,1787643586297.287,783307.425708793,783307.425714054
Recorder,783307.388797,0.004151021130383015,1787643586295.913,783307.4578462,783307.457850351
Recorder,783307.422308,0.0042619649320840836,1787643586294.1392,783307.489583255,783307.489587517
Recorder,783307.455818,0.004427041858434677,1787643586296.7954,783307.525748914,783307.525753341
Recorder,783307.489329,0.003890017978847027,1787643586295.1003,783307.557565646,783307.557569536
Recorder,783307.522839,0.00387697946280241,1787643586297.6038,783307.593579176,783307.593583053
Recorder,783307.556349,0.004351953975856304,1787643586296.369,783307.625853555,783307.625857907
Recorder,783307.58986,0.0047979410737752914,1787643586294.6575,783307.657652621,783307.657657419
Recorder,783307.62337,0.003940076567232609,1787643586297.0825,783307.693588335,783307.693592275
Recorder,783307.656881,0.004451023414731026,1787643586295.6726,783307.725689417,783307.725693868
Recorder,783307.690391,0.003571971319615841,1787643586298.045,783307.761554861,783307.761558433
Recorder,783307.723901,0.004208995960652828,1787643586296.7354,783307.793772488,783307.793776697
Recorder,783307.757412,0.004461966454982758,1787643586295.0547,783307.825602276,783307.825606738
Recorder,783307.790922,0.005561043508350849,1787643586297.9368,783307.861992402,783307.861997963
Recorder,783307.824433,0.005580950528383255,1787643586296.356,783307.893923165,783307.893928746
Recorder,783307.857943,0.004455912858247757,1787643586294.5825,783307.925661275,783307.925665731
Recorder,783307.891453,0.004723086021840572,1787643586297.2656,783307.961854116,783307.961858839
Recorder,783307.924964,0.10126607958227396,1787643586295.7822,783307.993783223,783307.993884489
Recorder,783307.958474,0.005610985681414604,1787643586298.002,783308.029610396,783308.029616007
Recorder,783307.991985,0.004236004315316677,1787643586296.4758,783308.061596887,783308.061601123
Recorder,783308.025495,0.004489906132221222,1787643586294.9653,783308.093595901,783308.093600391
Recorder,783308.059005,0.004717032425105572,1787643586297.7803,783308.129920849,783308.129925566
Recorder,783308.092516,0.00440794974565506,1787643586295.9758,783308.161627545,783308.161631953
Recorder,783308.126026,0.004225992597639561,1787643586294.4285,783308.193590349,783308.193594575
Recorder,783308.159537,0.004269066266715527,1787643586296.9048,783308.229577872,783308.229582141
Recorder,783308.193047,0.004018074832856655,1787643586295.3848,783308.261567798,783308.261571816
Recorder,783308.226557,0.004510045982897282,1787643586298.3967,783308.298089632,783308.298094142
Recorder,783308.260068,0.004292931407690048,1787643586296.6228,783308.329822662,783308.329826955
Recorder,783308.293578,0.004975008778274059,1787643586294.919,783308.361632077,783308.361637052
Recorder,783308.327089,0.004223082214593887,1787643586297.3643,783308.397589181,783308.397593404
Recorder,783308.360599,0.004464061930775642,1787643586295.858,783308.42959258,783308.429597044
Recorder,783308.394109,0.004679081030189991,1787643586294.5874,783308.461831742,783308.461836421
Recorder,783308.42762,0.004657893441617489,1787643586296.879,783308.497634137,783308.497638795
Recorder,783308.46113,0.004132045432925224,1787643586295.356,783308.529621955,783308.529626087
Recorder,783308.494641,0.004360917955636978,1787643586297.8582,783308.565634996,783308.565639357
Recorder,783308.528151,0.004387926310300827,1787643586296.402,783308.597688933,783308.597693321
Recorder,783308.561661,0.004464061930775642,1787643586295.055,783308.629851842,783308.629856306
